2026-01-12T02:00:00 FIREWALL BLOCK src=192.168.1.50 dst=192.168.1.10 port=445 proto=TCP action=DENY reason=policy_block
2026-01-12T02:01:00 FIREWALL ALLOW src=10.0.0.100 dst=192.168.1.10 port=443 proto=TCP action=ALLOW reason=allowed_by_rule
2026-01-12T02:02:00 FIREWALL DROP src=45.33.12.55 dst=192.168.1.10 port=22 proto=TCP action=DROP reason=invalid_connection
2026-01-12T02:03:00 FIREWALL ALERT src=203.0.113.50 dst=192.168.1.10 port=3389 proto=TCP action=ALERT reason=suspicious_rdp
2026-01-12T02:04:00 FIREWALL BLOCK src=198.51.100.25 dst=192.168.1.10 port=80 proto=TCP action=BLOCK reason=port_scan_detected
2026-01-12T02:05:00 FIREWALL ALLOW src=192.168.1.100 dst=192.168.1.10 port=53 proto=UDP action=ALLOW reason=dns_query
2026-01-12T02:06:00 FIREWALL REJECT src=45.33.12.55 dst=192.168.1.10 port=1433 proto=TCP action=REJECT reason=unauthorized_access
2026-01-12T02:07:00 FIREWALL ALLOW src=192.168.1.200 dst=192.168.1.10 port=443 proto=TCP action=ALLOW reason=ssl_connection
2026-01-12T02:08:00 FIREWALL WARNING src=203.0.113.50 dst=192.168.1.10 port=21 proto=TCP action=WARNING reason=multiple_failures
2026-01-12T02:09:00 FIREWALL DROP src=198.51.100.25 dst=192.168.1.10 port=3306 proto=TCP action=DROP reason=brute_force_attack
2026-01-12T02:10:00 FIREWALL ALLOW src=10.0.0.50 dst=192.168.1.10 port=8080 proto=TCP action=ALLOW reason=http_proxy
2026-01-12T02:11:00 FIREWALL BLOCK src=45.33.12.55 dst=192.168.1.10 port=135 proto=TCP action=BLOCK reason=exploit_attempt
2026-01-12T02:12:00 FIREWALL ALLOW src=192.168.1.150 dst=192.168.1.10 port=389 proto=TCP action=ALLOW reason=ldap_query
2026-01-12T02:13:00 FIREWALL ALERT src=203.0.113.50 dst=192.168.1.10 port=139 proto=TCP action=ALERT reason=netbios_suspicious
2026-01-12T02:14:00 FIREWALL DROP src=198.51.100.25 dst=192.168.1.10 port=5900 proto=TCP action=DROP reason=vnc_scan
2026-01-12T02:15:00 FIREWALL ALLOW src=192.168.1.10 dst=8.8.8.8 port=53 proto=UDP action=ALLOW reason=outbound_dns
2026-01-12T02:16:00 FIREWALL REJECT src=45.33.12.55 dst=192.168.1.10 port=993 proto=TCP action=REJECT reason=imap_blocked
2026-01-12T02:17:00 FIREWALL ALLOW src=10.0.0.25 dst=192.168.1.10 port=25 proto=TCP action=ALLOW reason=smtp_outbound
2026-01-12T02:18:00 FIREWALL WARNING src=203.0.113.50 dst=192.168.1.10 port=995 proto=TCP action=WARNING reason=pop3s_anomaly
2026-01-12T02:19:00 FIREWALL BLOCK src=198.51.100.25 dst=192.168.1.10 port=5432 proto=TCP action=BLOCK reason=database_scan
2026-01-12T02:20:00 FIREWALL ALLOW src=192.168.1.100 dst=192.168.1.10 port=161 proto=UDP action=ALLOW reason=snmp_query
2026-01-12T02:21:00 FIREWALL ALERT src=45.33.12.55 dst=192.168.1.10 port=23 proto=TCP action=ALERT reason=telnet_attempt
